"Splunk_Instance","Splunk_Roles",title,appName,author,description,"TIME_PREFIX","TIME_FORMAT","MAX_TIMESTAMP_LOOKAHEAD","DATETIME_CONFIG","SHOULD_LINEMERGE","LINE_BREAKER",TRUNCATE,"BREAK_ONLY_BEFORE","BREAK_ONLY_BEFORE_DATE","MUST_BREAK_AFTER","KV_MODE","INDEXED_EXTRACTIONS","EVENT_BREAKER_ENABLE","EVENT_BREAKER","ANNOTATE_PUNCT","LEARN_SOURCETYPE","LEARN_MODEL","MAX_EVENTS",maxDist
CM1,"PROD-CM-1|cluster_master|search_head","Linux:SELinuxConfig","Splunk_TA_nix",system,,,,128,"/etc/datetime.xml",1,,10000,"",1,"",,,,,1,1,1,256,100
CM1,"PROD-CM-1|cluster_master|search_head","aix_secure","Splunk_TA_nix",system,,,,128,"/etc/datetime.xml",1,,10000,"",1,"",,,1,,1,1,1,256,100
CM1,"PROD-CM-1|cluster_master|search_head",bandwidth,"Splunk_TA_nix",system,,,,128,CURRENT,0,"^((?!))$",1000000,"",1,"",multi,,,,1,1,1,256,100
CM1,"PROD-CM-1|cluster_master|search_head","bash_history","Splunk_TA_nix",system,,,,128,CURRENT,0,,10000,"",1,"",,,1,,1,1,1,256,100
CM1,"PROD-CM-1|cluster_master|search_head","config_file","Splunk_TA_nix",system,,,,128,NONE,0,"^((?!))$",1000000,"",1,"",none,,,,1,0,0,256,100
CM1,"PROD-CM-1|cluster_master|search_head",cpu,"Splunk_TA_nix",system,,,,128,CURRENT,0,"(^$|[\r\n]+[\r\n]+)",1000000,"",1,"",multi,,,,1,1,1,256,100
CM1,"PROD-CM-1|cluster_master|search_head",df,"Splunk_TA_nix",system,,,,128,CURRENT,0,"(^$|[\r\n]+[\r\n]+)",1000000,"",1,"",multi,,,,1,1,1,256,100
CM1,"PROD-CM-1|cluster_master|search_head",dhcpd,"Splunk_TA_nix",system,,,,128,"/etc/datetime.xml",0,,10000,"",1,"",,,1,,1,1,1,256,100
CM1,"PROD-CM-1|cluster_master|search_head","fs_notification","Splunk_TA_nix",system,,,,128,"/etc/datetime.xml",0,,10000,"",1,"",,,1,,1,1,1,256,100
CM1,"PROD-CM-1|cluster_master|search_head",hardware,"Splunk_TA_nix",system,,,,128,CURRENT,0,"^((?!))$",1000000,"",1,"",,,,,1,1,1,256,100
CM1,"PROD-CM-1|cluster_master|search_head",interfaces,"Splunk_TA_nix",system,,,,128,CURRENT,0,"^((?!))$",1000000,"",1,"",multi,,,,1,1,1,256,100
CM1,"PROD-CM-1|cluster_master|search_head",iostat,"Splunk_TA_nix",system,,,,128,CURRENT,1,"(^$|[\r\n]+[\r\n]+)",1000000,"",1,"",multi,,,,1,1,1,256,100
CM1,"PROD-CM-1|cluster_master|search_head",lastlog,"Splunk_TA_nix",system,,,,128,CURRENT,0,"^((?!))$",1000000,"",1,"",,,,,1,1,0,256,100
CM1,"PROD-CM-1|cluster_master|search_head","linux_secure","Splunk_TA_nix",system,"Format for the /var/log/secure file containing all security related messages on a Linux machine",,,128,"/etc/datetime.xml",0,,10000,"",1,"",,,1,,1,1,1,256,100
CM1,"PROD-CM-1|cluster_master|search_head",lsof,"Splunk_TA_nix",system,,,,128,CURRENT,0,"^((?!))$",1000000,"",1,"",multi,,,,1,1,1,256,100
CM1,"PROD-CM-1|cluster_master|search_head",netstat,"Splunk_TA_nix",system,,,,128,CURRENT,0,"^((?!))$",1000000,"",1,"",,,,,1,1,1,256,100
CM1,"PROD-CM-1|cluster_master|search_head",nfsiostat,"Splunk_TA_nix",system,,,,128,CURRENT,1,"(^$|[\r\n]+[\r\n]+)",10000,"",1,"",multi,,,,1,1,1,256,100
CM1,"PROD-CM-1|cluster_master|search_head",openPorts,"Splunk_TA_nix",system,,,,128,CURRENT,0,,1000000,"",1,"",,,,,1,1,1,256,100
CM1,"PROD-CM-1|cluster_master|search_head","osx_secure","Splunk_TA_nix",system,,,,128,"/etc/datetime.xml",1,,10000,"",0,"",,,1,,1,1,1,256,100
CM1,"PROD-CM-1|cluster_master|search_head",package,"Splunk_TA_nix",system,,,,128,CURRENT,0,"^((?!))$",1000000,"",1,"",multi,,,,1,1,1,256,100
CM1,"PROD-CM-1|cluster_master|search_head",protocol,"Splunk_TA_nix",system,,,,128,CURRENT,0,"(^$|[\r\n]+[\r\n]+)",1000000,"",1,"",multi,,,,1,1,1,256,100
CM1,"PROD-CM-1|cluster_master|search_head",ps,"Splunk_TA_nix",system,,,,128,CURRENT,0,"(^$|[\r\n]+[\r\n]+)",1000000,"",1,"",multi,,,,1,1,1,256,100
CM1,"PROD-CM-1|cluster_master|search_head","source::(....(config|conf|cfg|inii|cfg|emacs|ini|license|lng|plist|presets|properties|props|vim|wsdl))","Splunk_TA_nix",system,,,,128,"/etc/datetime.xml",1,,10000,"",1,"",,,,,1,1,1,256,100
CM1,"PROD-CM-1|cluster_master|search_head","source::(AIX|FreeBSD|HPUX|Linux|OSX|Solaris|Unix):*","Splunk_TA_nix",system,,,,128,"/etc/datetime.xml",1,,10000,"",1,"",,,,,1,1,1,256,100
CM1,"PROD-CM-1|cluster_master|search_head","source::*:SSHDConfig","Splunk_TA_nix",system,,,,128,"/etc/datetime.xml",1,,10000,"",1,"",,,,,1,1,1,256,100
CM1,"PROD-CM-1|cluster_master|search_head","source::*:VSFTPDConfig","Splunk_TA_nix",system,,,,128,"/etc/datetime.xml",1,,10000,"",1,"",,,,,1,1,1,256,100
CM1,"PROD-CM-1|cluster_master|search_head","source::...(AIX|FreeBSD|HPUX|Linux|OSX|Solaris):CPUTime","Splunk_TA_nix",system,,,,128,"/etc/datetime.xml",0,,10000,"",1,"",,,,,1,1,1,256,100
CM1,"PROD-CM-1|cluster_master|search_head","source::...(AIX|FreeBSD|HPUX|Linux|OSX|Solaris):FreeDiskSpace","Splunk_TA_nix",system,,,,128,"/etc/datetime.xml",0,,10000,"",1,"",,,,,1,1,1,256,100
CM1,"PROD-CM-1|cluster_master|search_head","source::...(AIX|FreeBSD|HPUX|Linux|OSX|Solaris):LocalProcesses","Splunk_TA_nix",system,,,,128,"/etc/datetime.xml",0,,10000,"",1,"",,,,,1,1,1,256,100
CM1,"PROD-CM-1|cluster_master|search_head","source::...(AIX|FreeBSD|HPUX|Linux|OSX|Solaris):Memory","Splunk_TA_nix",system,,,,128,"/etc/datetime.xml",0,,10000,"",1,"",,,,,1,1,1,256,100
CM1,"PROD-CM-1|cluster_master|search_head","source::...(AIX|FreeBSD|HPUX|Linux|OSX|Solaris|Unix):ListeningPorts","Splunk_TA_nix",system,,,,128,"/etc/datetime.xml",0,,10000,"",1,"",,,,,1,1,1,256,100
CM1,"PROD-CM-1|cluster_master|search_head","source::...(AIX|FreeBSD|HPUX|Linux|OSX|Solaris|Unix):Service","Splunk_TA_nix",system,,,,128,"/etc/datetime.xml",0,,10000,"",1,"",,,1,,1,1,1,256,100
CM1,"PROD-CM-1|cluster_master|search_head","source::...(AIX|FreeBSD|HPUX|Linux|OSX|Solaris|Unix):Update","Splunk_TA_nix",system,,,,128,"/etc/datetime.xml",1,,10000,"",1,"",,,1,,1,1,1,256,100
CM1,"PROD-CM-1|cluster_master|search_head","source::...(AIX|FreeBSD|HPUX|Linux|OSX|Solaris|Unix):Uptime","Splunk_TA_nix",system,,,,128,"/etc/datetime.xml",1,,10000,"",1,"",,,,,1,1,1,256,100
CM1,"PROD-CM-1|cluster_master|search_head","source::...(AIX|FreeBSD|HPUX|Linux|OSX|Solaris|Unix):Version","Splunk_TA_nix",system,,,,128,"/etc/datetime.xml",1,,10000,"",1,"",,,,,1,1,1,256,100
CM1,"PROD-CM-1|cluster_master|search_head","source::...(Linux|Unix):Service","Splunk_TA_nix",system,,,,128,"/etc/datetime.xml",1,,10000,"",1,"",,,,,1,1,1,256,100
CM1,"PROD-CM-1|cluster_master|search_head","source::...(Solaris|OSX):Service","Splunk_TA_nix",system,,,,128,"/etc/datetime.xml",1,,10000,"",1,"",,,,,1,1,1,256,100
CM1,"PROD-CM-1|cluster_master|search_head","source::...(linux.*|sample.*.linux)","Splunk_TA_nix",system,,,,128,"/etc/datetime.xml",1,,10000,"",1,"",,,,,1,1,1,256,100
CM1,"PROD-CM-1|cluster_master|search_head","source::...(linux.diskio|sample.diskio.linux|solaris.diskio|aix.diskio|freebsd.diskio)","Splunk_TA_nix",system,,,,128,"/etc/datetime.xml",0,,10000,"",1,"",,,,,1,1,1,256,100
CM1,"PROD-CM-1|cluster_master|search_head","source::...(linux.listeningports|sample.listeningports.linux)","Splunk_TA_nix",system,,,,128,"/etc/datetime.xml",1,,10000,"",1,"",,,,,1,1,1,256,100
CM1,"PROD-CM-1|cluster_master|search_head","source::...(linux.localprocesses|sample.localprocesses.linux)","Splunk_TA_nix",system,,,,128,"/etc/datetime.xml",1,,10000,"",1,"",,,,,1,1,1,256,100
CM1,"PROD-CM-1|cluster_master|search_head","source::...(linux.memory|sample.memory.linux)","Splunk_TA_nix",system,,,,128,"/etc/datetime.xml",1,,10000,"",1,"",,,,,1,1,1,256,100
CM1,"PROD-CM-1|cluster_master|search_head","source::...(linux.selinuxconfig|sample.selinuxconfig.linux|sample.selinuxChecker.linux)","Splunk_TA_nix",system,,,,128,"/etc/datetime.xml",1,,10000,"",1,"",,,,,1,1,1,256,100
CM1,"PROD-CM-1|cluster_master|search_head","source::...(linux.service|sample.service.linux)","Splunk_TA_nix",system,,,,128,"/etc/datetime.xml",1,,10000,"",1,"",,,,,1,1,1,256,100
CM1,"PROD-CM-1|cluster_master|search_head","source::...(linux.sshdconfig|sample.sshdconfig.linux|sample.sshdChecker.linux)","Splunk_TA_nix",system,,,,128,"/etc/datetime.xml",1,,10000,"",1,"",,,,,1,1,1,256,100
CM1,"PROD-CM-1|cluster_master|search_head","source::...(linux.update|sample.update.linux)","Splunk_TA_nix",system,,,,128,"/etc/datetime.xml",1,,10000,"",1,"",,,,,1,1,1,256,100
CM1,"PROD-CM-1|cluster_master|search_head","source::...(linux.uptime|sample.uptime.linux)","Splunk_TA_nix",system,,,,128,"/etc/datetime.xml",1,,10000,"",1,"",,,,,1,1,1,256,100
CM1,"PROD-CM-1|cluster_master|search_head","source::...(linux.useraccounts|sample.useraccounts.linux)","Splunk_TA_nix",system,,,,128,"/etc/datetime.xml",1,,10000,"",1,"",,,,,1,1,1,256,100
CM1,"PROD-CM-1|cluster_master|search_head","source::...(linux.version|sample.version.linux)","Splunk_TA_nix",system,,,,128,"/etc/datetime.xml",1,,10000,"",1,"",,,,,1,1,1,256,100
CM1,"PROD-CM-1|cluster_master|search_head","source::...(nfsiostat)","Splunk_TA_nix",system,,,,128,"/etc/datetime.xml",0,,10000,"",1,"",,,,,1,1,1,256,100
CM1,"PROD-CM-1|cluster_master|search_head","source::...(osx.*|sample.*.osx)","Splunk_TA_nix",system,,,,128,"/etc/datetime.xml",1,,10000,"",1,"",,,,,1,1,1,256,100
CM1,"PROD-CM-1|cluster_master|search_head","source::...(osx.memory|sample.memory.osx)","Splunk_TA_nix",system,,,,128,"/etc/datetime.xml",1,,10000,"",1,"",,,,,1,1,1,256,100
CM1,"PROD-CM-1|cluster_master|search_head","source::...(osx.service|sample.service.osx)","Splunk_TA_nix",system,,,,128,"/etc/datetime.xml",1,,10000,"",1,"",,,,,1,1,1,256,100
CM1,"PROD-CM-1|cluster_master|search_head","source::...(osx.sshdconfig|sample.sshdconfig.osx)","Splunk_TA_nix",system,,,,128,"/etc/datetime.xml",1,,10000,"",1,"",,,,,1,1,1,256,100
CM1,"PROD-CM-1|cluster_master|search_head","source::...(osx.update|sample.update.osx)","Splunk_TA_nix",system,,,,128,"/etc/datetime.xml",1,,10000,"",1,"",,,,,1,1,1,256,100
CM1,"PROD-CM-1|cluster_master|search_head","source::...(osx.version|sample.version.osx)","Splunk_TA_nix",system,,,,128,"/etc/datetime.xml",1,,10000,"",1,"",,,,,1,1,1,256,100
CM1,"PROD-CM-1|cluster_master|search_head","source::...(solaris.*|sample.*.solaris)","Splunk_TA_nix",system,,,,128,"/etc/datetime.xml",1,,10000,"",1,"",,,,,1,1,1,256,100
CM1,"PROD-CM-1|cluster_master|search_head","source::...(solaris.memory|sample.memory.solaris)","Splunk_TA_nix",system,,,,128,"/etc/datetime.xml",1,,10000,"",1,"",,,,,1,1,1,256,100
CM1,"PROD-CM-1|cluster_master|search_head","source::...(solaris.service|sample.service.solaris)","Splunk_TA_nix",system,,,,128,"/etc/datetime.xml",1,,10000,"",1,"",,,,,1,1,1,256,100
CM1,"PROD-CM-1|cluster_master|search_head","source::...(solaris.version|sample.version.solaris)","Splunk_TA_nix",system,,,,128,"/etc/datetime.xml",1,,10000,"",1,"",,,,,1,1,1,256,100
CM1,"PROD-CM-1|cluster_master|search_head","source::....aix_secure","Splunk_TA_nix",system,,,,128,"/etc/datetime.xml",1,,10000,"",1,"",,,,,1,1,1,256,100
CM1,"PROD-CM-1|cluster_master|search_head","source::....dhcpd","Splunk_TA_nix",system,,,,128,"/etc/datetime.xml",1,,10000,"",1,"",,,,,1,1,1,256,100
CM1,"PROD-CM-1|cluster_master|search_head","source::....fs_notification","Splunk_TA_nix",system,,,,128,"/etc/datetime.xml",1,,10000,"",1,"",,,,,1,1,1,256,100
CM1,"PROD-CM-1|cluster_master|search_head","source::....linux_secure","Splunk_TA_nix",system,,,,128,"/etc/datetime.xml",1,,10000,"",1,"",,,,,1,1,1,256,100
CM1,"PROD-CM-1|cluster_master|search_head","source::....nix","Splunk_TA_nix",system,,,,128,"/etc/datetime.xml",1,,10000,"",1,"",,,,,1,1,1,256,100
CM1,"PROD-CM-1|cluster_master|search_head","source::....osx_secure","Splunk_TA_nix",system,,,,128,"/etc/datetime.xml",1,,10000,"",1,"",,,,,1,1,1,256,100
CM1,"PROD-CM-1|cluster_master|search_head","source::....syslog","Splunk_TA_nix",system,,,,128,"/etc/datetime.xml",1,,10000,"",1,"",,,,,1,1,1,256,100
CM1,"PROD-CM-1|cluster_master|search_head","source::.../sample.config","Splunk_TA_nix",system,,,,128,"/etc/datetime.xml",1,,10000,"",1,"",,,,,1,1,1,256,100
CM1,"PROD-CM-1|cluster_master|search_head","source::...linux.cputime","Splunk_TA_nix",system,,,,128,"/etc/datetime.xml",1,,10000,"",1,"",,,,,1,1,1,256,100
CM1,"PROD-CM-1|cluster_master|search_head","source::...linux.df","Splunk_TA_nix",system,,,,128,"/etc/datetime.xml",1,,10000,"",1,"",,,,,1,1,1,256,100
CM1,"PROD-CM-1|cluster_master|search_head","source::...linux.ps","Splunk_TA_nix",system,,,,128,"/etc/datetime.xml",0,,10000,"",1,"",,,,,1,1,1,256,100
CM1,"PROD-CM-1|cluster_master|search_head","source::...linux.vmstat","Splunk_TA_nix",system,,,,128,"/etc/datetime.xml",0,,10000,"",1,"",,,,,1,1,1,256,100
CM1,"PROD-CM-1|cluster_master|search_head","source::...protocol.sample","Splunk_TA_nix",system,,,,128,"/etc/datetime.xml",0,,10000,"",1,"",,,,,1,1,1,256,100
CM1,"PROD-CM-1|cluster_master|search_head","source::...sample.*.unix","Splunk_TA_nix",system,,,,128,"/etc/datetime.xml",1,,10000,"",1,"",,,,,1,1,1,256,100
CM1,"PROD-CM-1|cluster_master|search_head","source::...sample.cputime.unix","Splunk_TA_nix",system,,,,128,"/etc/datetime.xml",1,,10000,"",1,"",,,,,1,1,1,256,100
CM1,"PROD-CM-1|cluster_master|search_head","source::...sample.freediskspace.unix","Splunk_TA_nix",system,,,,128,"/etc/datetime.xml",1,,10000,"",1,"",,,,,1,1,1,256,100
CM1,"PROD-CM-1|cluster_master|search_head","source::...sample.localprocesses.unix","Splunk_TA_nix",system,,,,128,"/etc/datetime.xml",1,,10000,"",1,"",,,,,1,1,1,256,100
CM1,"PROD-CM-1|cluster_master|search_head","source::...sample.memory.unix","Splunk_TA_nix",system,,,,128,"/etc/datetime.xml",1,,10000,"",1,"",,,,,1,1,1,256,100
CM1,"PROD-CM-1|cluster_master|search_head","source::...sample.openPortsEnhanced.unix","Splunk_TA_nix",system,,,,128,"/etc/datetime.xml",1,,10000,"",1,"",,,,,1,1,1,256,100
CM1,"PROD-CM-1|cluster_master|search_head","source::...sample.passwd.unix","Splunk_TA_nix",system,,,,128,"/etc/datetime.xml",1,,10000,"",1,"",,,,,1,1,1,256,100
CM1,"PROD-CM-1|cluster_master|search_head","source::...sample.service.unix","Splunk_TA_nix",system,,,,128,"/etc/datetime.xml",1,,10000,"",1,"",,,,,1,1,1,256,100
CM1,"PROD-CM-1|cluster_master|search_head","source::...sample.sshdChecker.unix","Splunk_TA_nix",system,,,,128,"/etc/datetime.xml",1,,10000,"",1,"",,,,,1,1,1,256,100
CM1,"PROD-CM-1|cluster_master|search_head","source::...sample.update.osx","Splunk_TA_nix",system,,,,128,"/etc/datetime.xml",1,,10000,"",1,"",,,,,1,1,1,256,100
CM1,"PROD-CM-1|cluster_master|search_head","source::...sample.uptime.unix","Splunk_TA_nix",system,,,,128,"/etc/datetime.xml",1,,10000,"",1,"",,,,,1,1,1,256,100
CM1,"PROD-CM-1|cluster_master|search_head","source::...sample.version.unix","Splunk_TA_nix",system,,,,128,"/etc/datetime.xml",1,,10000,"",1,"",,,,,1,1,1,256,100
CM1,"PROD-CM-1|cluster_master|search_head","source::...sample.vsftpdChecker.linux","Splunk_TA_nix",system,,,,128,"/etc/datetime.xml",1,,10000,"",1,"",,,,,1,1,1,256,100
CM1,"PROD-CM-1|cluster_master|search_head","source::...top.sample","Splunk_TA_nix",system,,,,128,"/etc/datetime.xml",0,,10000,"",1,"",,,,,1,1,1,256,100
CM1,"PROD-CM-1|cluster_master|search_head","source::/etc/passwd*","Splunk_TA_nix",system,,,,128,"/etc/datetime.xml",1,,10000,"",1,"",,,,,1,1,1,256,100
CM1,"PROD-CM-1|cluster_master|search_head","source::/etc/shadow*","Splunk_TA_nix",system,,,,128,"/etc/datetime.xml",1,,10000,"",1,"",,,,,1,1,1,256,100
CM1,"PROD-CM-1|cluster_master|search_head",syslog,"Splunk_TA_nix",system,"Output produced by many syslog daemons, as described in RFC3164 by the IETF",,"%b %d %H:%M:%S",32,"/etc/datetime.xml",0,,10000,"",1,"",,,1,,1,1,1,256,3
CM1,"PROD-CM-1|cluster_master|search_head",time,"Splunk_TA_nix",system,,,,128,CURRENT,0,"^((?!))$",1000000,"",1,"",,,,,1,1,1,256,100
CM1,"PROD-CM-1|cluster_master|search_head",top,"Splunk_TA_nix",system,,,,128,CURRENT,0,"(^$|[\r\n]+[\r\n]+)",1000000,"",1,"",multi,,,,1,1,1,256,100
CM1,"PROD-CM-1|cluster_master|search_head",usersWithLoginPrivs,"Splunk_TA_nix",system,,,,128,CURRENT,0,"^((?!))$",1000000,"",1,"",multi,,,,1,1,1,256,100
CM1,"PROD-CM-1|cluster_master|search_head",vmstat,"Splunk_TA_nix",system,,,,128,CURRENT,1,"(^$|[\r\n]+[\r\n]+)",1000000,"",1,"",,,,,1,1,1,256,100
CM1,"PROD-CM-1|cluster_master|search_head",who,"Splunk_TA_nix",system,,,,128,CURRENT,0,"^((?!))$",1000000,"",1,"",multi,,,,1,1,1,256,100
CM1,"PROD-CM-1|cluster_master|search_head","splunk:essentials:json","Splunk_Use_Case_Arsenal",system,"Splunk Use Case Arsenal JSON Source Type",,,128,CURRENT,1,"([\r\n]+)",0,"",1,"",json,json,,,0,0,1,256,100
CM1,"PROD-CM-1|cluster_master|search_head","(?::){0}splunkd_*","TA-org_splunk",system,,,,128,"/etc/datetime.xml",1,,99999,"",1,"",,,,,1,1,1,256,100
CM1,"PROD-CM-1|cluster_master|search_head","splunk_web_access","TA-org_splunk",system,,"\[",,128,"/etc/datetime.xml",0,,99999,"",1,"",,,,,1,1,1,256,28
CM1,"PROD-CM-1|cluster_master|search_head",splunkd,"TA-org_splunk",system,,,"%m-%d-%Y %H:%M:%S.%l %z",40,"/etc/datetime.xml",0,,99999,"",1,"",,,,,1,1,1,256,100
CM1,"PROD-CM-1|cluster_master|search_head","splunkd_conf","TA-org_splunk",system,,,"%m-%d-%Y %H:%M:%S.%l %z",128,"/etc/datetime.xml",0,,99999,"",1,"",none,json,,,1,1,1,256,100
CM1,"PROD-CM-1|cluster_master|search_head","splunkd_crash_log","TA-org_splunk",system,,,,1,NONE,1,,99999,"",1,"^(?i)terminating\.\.\.",,,,,1,1,1,2048,100
CM1,"PROD-CM-1|cluster_master|search_head","splunkd_remote_searches","TA-org_splunk",system,,,"%m-%d-%Y %H:%M:%S.%l %z",40,"/etc/datetime.xml",0,,99999,"",1,"",none,,,,1,1,1,256,100
CM1,"PROD-CM-1|cluster_master|search_head","splunkd_ui_access","TA-org_splunk",system,,"\[",,128,"/etc/datetime.xml",0,,99999,"",1,"",,,,,1,1,1,256,28
CM1,"PROD-CM-1|cluster_master|search_head","(?::){0}splunk:config:btool:*",btool,system,,,,128,"/etc/datetime.xml",1,,10000,"",1,"",,,,,1,1,1,256,100
CM1,"PROD-CM-1|cluster_master|search_head","source::*/bin/btool.sh*",btool,system,,,,128,CURRENT,1,,10000,"^.*?\/etc\/(apps|system|slave-apps)\/(?:(.*?)\/)?(default|local)\/(?<file>\w+\.conf)\s+\[(?<stanza>.+?)\]$",1,"",,,,,1,1,1,256,100
CM1,"PROD-CM-1|cluster_master|search_head","splunk:config:btool:app",btool,system,,,,128,"/etc/datetime.xml",1,,10000,"",1,"",,,,,1,1,1,256,100
CM1,"PROD-CM-1|cluster_master|search_head",conf,"ca_sh",system,,,,128,NONE,1,,10000,"^\[",1,"",none,,,,1,1,0,200000,100
CM1,"PROD-CM-1|cluster_master|search_head",css,"ca_sh",system,,,,128,NONE,1,,10000,"^!@#$",1,"",,,,,1,1,0,200000,100
CM1,"PROD-CM-1|cluster_master|search_head",html,"ca_sh",system,,,,128,NONE,1,,10000,"^!@#$",1,"",,,,,1,1,0,200000,100
CM1,"PROD-CM-1|cluster_master|search_head","source::...props.conf","ca_sh",system,,,,128,"/etc/datetime.xml",1,,10000,"",1,"",,,,,1,1,1,256,100
CM1,"PROD-CM-1|cluster_master|search_head","source::...tags.conf","ca_sh",system,,,,128,"/etc/datetime.xml",1,,10000,"",1,"",,,,,1,1,1,256,100
CM1,"PROD-CM-1|cluster_master|search_head","source::si_conf","ca_sh",system,,,,128,"/etc/datetime.xml",1,,10000,"",1,"",,,,,1,1,1,256,100
CM1,"PROD-CM-1|cluster_master|search_head",views,"ca_sh",system,,,,128,NONE,1,,10000,"^!@#$",1,"",,,,,1,1,0,200000,100
CM1,"PROD-CM-1|cluster_master|search_head",conf,"config_analytics",system,,,,128,NONE,1,,10000,"^\[",1,"",none,,,,1,1,0,200000,100
CM1,"PROD-CM-1|cluster_master|search_head",css,"config_analytics",system,,,,128,NONE,1,,10000,"^!@#$",1,"",,,,,1,1,0,200000,100
CM1,"PROD-CM-1|cluster_master|search_head",html,"config_analytics",system,,,,128,NONE,1,,10000,"^!@#$",1,"",,,,,1,1,0,200000,100
CM1,"PROD-CM-1|cluster_master|search_head",views,"config_analytics",system,,,,128,NONE,1,,10000,"^!@#$",1,"",,,,,1,1,0,200000,100
CM1,"PROD-CM-1|cluster_master|search_head","source::...config_explorer.log","config_explorer",system,,,,128,"/etc/datetime.xml",1,,10000,"",1,"",,,,,1,1,1,256,100
CM1,"PROD-CM-1|cluster_master|search_head","dfm_stderr-too_small",learned,system,,,,128,"/etc/datetime.xml",0,,10000,"",1,"",,,,,1,1,1,256,9999
CM1,"PROD-CM-1|cluster_master|search_head","dfm_stdout-too_small",learned,system,,,,128,"/etc/datetime.xml",0,,10000,"",1,"",,,,,1,1,1,256,9999
CM1,"PROD-CM-1|cluster_master|search_head","export_metrics-too_small",learned,system,,,,128,"/etc/datetime.xml",0,,10000,"",1,"",,,,,1,1,1,256,9999
CM1,"PROD-CM-1|cluster_master|search_head","first_install-too_small",learned,system,,,,128,"/etc/datetime.xml",0,,10000,"",1,"",,,,,1,1,1,256,9999
CM1,"PROD-CM-1|cluster_master|search_head","mlspl-3",learned,system,,,,71,"/etc/datetime.xml",0,,10000,"",1,"",,,,,1,1,1,256,100
CM1,"PROD-CM-1|cluster_master|search_head","mlspl-too_small",learned,system,,,,128,"/etc/datetime.xml",0,,10000,"",1,"",,,,,1,1,1,256,9999
CM1,"PROD-CM-1|cluster_master|search_head","mlspl_watchdog-too_small",learned,system,,,,128,"/etc/datetime.xml",0,,10000,"",1,"",,,,,1,1,1,256,9999
CM1,"PROD-CM-1|cluster_master|search_head","python_modular_input-too_small",learned,system,,,,128,"/etc/datetime.xml",0,,10000,"",1,"",,,,,1,1,1,256,9999
CM1,"PROD-CM-1|cluster_master|search_head","saas_app_aws-2",learned,system,,,,44,"/etc/datetime.xml",0,,10000,"",1,"",,,,,1,1,1,256,100
CM1,"PROD-CM-1|cluster_master|search_head","saas_app_aws-too_small",learned,system,,,,128,"/etc/datetime.xml",0,,10000,"",1,"",,,,,1,1,1,256,9999
CM1,"PROD-CM-1|cluster_master|search_head","splunk_archiver-2",learned,system,,,,49,"/etc/datetime.xml",0,,10000,"",1,"",,,,,1,1,1,256,100
