"Splunk_Instance","Splunk_Roles",app,sharing,stanza,attribute,value,author,type,updated
CM1,"PROD-CM-1|cluster_master|search_head","Splunk_TA_nix",global,hardware,"EXTRACT-cpu_cores","(?i)CPU_COUNT\s+(?P<cpu_cores>[^ \n]*)?",system,Inline,"1970-01-01T00:00:00+00:00"
CM1,"PROD-CM-1|cluster_master|search_head","Splunk_TA_nix",global,hardware,"EXTRACT-cpu_type","(?i)CPU_TYPE\s+(?P<cpu_type>[^\n]*)?",system,Inline,"1970-01-01T00:00:00+00:00"
CM1,"PROD-CM-1|cluster_master|search_head","Splunk_TA_nix",global,"linux_secure","REPORT-0authentication_for_linux_secure","ssh-login-events, ssh-session-close, ssh-disconnect, sshd_authentication_kerberos_success, sshd_authentication_refused, sshd_authentication_tried, sshd_login_restricted, pam_unix_authentication_success, pam_unix_authentication_failure, sudo_cannot_identify, ksu_authentication, ksu_authorization, su_simple, su_authentication, su_successful, wksh_authentication, login_authentication, ftpd_authentication",system,"Uses transform","1970-01-01T00:00:00+00:00"
CM1,"PROD-CM-1|cluster_master|search_head","Splunk_TA_nix",global,"linux_secure","REPORT-account_management_for_linux_secure","useradd, userdel",system,"Uses transform","1970-01-01T00:00:00+00:00"
CM1,"PROD-CM-1|cluster_master|search_head","Splunk_TA_nix",global,"linux_secure","REPORT-dest_for_linux_secure","host_as_dest",system,"Uses transform","1970-01-01T00:00:00+00:00"
CM1,"PROD-CM-1|cluster_master|search_head","Splunk_TA_nix",global,"linux_secure","REPORT-firewall","ipfw, ipfw-stealth, ipfw-icmp, pf",system,"Uses transform","1970-01-01T00:00:00+00:00"
CM1,"PROD-CM-1|cluster_master|search_head","Splunk_TA_nix",global,"linux_secure","REPORT-routing",iptables,system,"Uses transform","1970-01-01T00:00:00+00:00"
CM1,"PROD-CM-1|cluster_master|search_head","Splunk_TA_nix",global,"linux_secure","REPORT-signature_for_linux_secure_timesync","signature_for_nix_timesync",system,"Uses transform","1970-01-01T00:00:00+00:00"
CM1,"PROD-CM-1|cluster_master|search_head","Splunk_TA_nix",global,"linux_secure","REPORT-src_for_linux_secure","src_dns_as_src, src_ip_as_src, host_as_src",system,"Uses transform","1970-01-01T00:00:00+00:00"
CM1,"PROD-CM-1|cluster_master|search_head","Splunk_TA_nix",global,openPorts,"REPORT-fields_for_open_ports_sh","fields_for_open_ports_sh",system,"Uses transform","1970-01-01T00:00:00+00:00"
CM1,"PROD-CM-1|cluster_master|search_head","Splunk_TA_nix",global,"osx_secure","REPORT-0authentication_for_osx_secure","ssh-login-events, ssh-session-close, ssh-disconnect, sshd_authentication_kerberos_success, sshd_authentication_refused, sshd_authentication_tried, sshd_login_restricted, pam_unix_authentication_success, pam_unix_authentication_failure, sudo_cannot_identify, ksu_authentication, ksu_authorization, su_simple, su_authentication, su_successful, wksh_authentication, login_authentication",system,"Uses transform","1970-01-01T00:00:00+00:00"
CM1,"PROD-CM-1|cluster_master|search_head","Splunk_TA_nix",global,"osx_secure","REPORT-account_management_for_osx_secure","useradd, userdel",system,"Uses transform","1970-01-01T00:00:00+00:00"
CM1,"PROD-CM-1|cluster_master|search_head","Splunk_TA_nix",global,"osx_secure","REPORT-dest_for_osx_secure","host_as_dest",system,"Uses transform","1970-01-01T00:00:00+00:00"
CM1,"PROD-CM-1|cluster_master|search_head","Splunk_TA_nix",global,"osx_secure","REPORT-firewall_for_osx_secure","ipfw, ipfw-stealth, ipfw-icmp, pf",system,"Uses transform","1970-01-01T00:00:00+00:00"
CM1,"PROD-CM-1|cluster_master|search_head","Splunk_TA_nix",global,"osx_secure","REPORT-routing_for_osx_secure",iptables,system,"Uses transform","1970-01-01T00:00:00+00:00"
CM1,"PROD-CM-1|cluster_master|search_head","Splunk_TA_nix",global,"osx_secure","REPORT-signature_for_osx_secure_timesync","signature_for_nix_timesync",system,"Uses transform","1970-01-01T00:00:00+00:00"
CM1,"PROD-CM-1|cluster_master|search_head","Splunk_TA_nix",global,"osx_secure","REPORT-src_for_osx_secure","src_dns_as_src, src_ip_as_src, host_as_src",system,"Uses transform","1970-01-01T00:00:00+00:00"
CM1,"PROD-CM-1|cluster_master|search_head","Splunk_TA_nix",global,syslog,"REPORT-0authentication_for_syslog","ssh-login-events, ssh-session-close, ssh-disconnect, sshd_authentication_kerberos_success, sshd_authentication_refused, sshd_authentication_tried, sshd_login_restricted, pam_unix_authentication_success, pam_unix_authentication_failure, sudo_cannot_identify, ksu_authentication, ksu_authorization, su_simple, su_authentication, su_successful, wksh_authentication, login_authentication",system,"Uses transform","1970-01-01T00:00:00+00:00"
CM1,"PROD-CM-1|cluster_master|search_head","Splunk_TA_nix",global,syslog,"REPORT-account_management_for_syslog","useradd, userdel",system,"Uses transform","1970-01-01T00:00:00+00:00"
CM1,"PROD-CM-1|cluster_master|search_head","Splunk_TA_nix",global,syslog,"REPORT-dest_for_syslog","host_as_dest",system,"Uses transform","1970-01-01T00:00:00+00:00"
CM1,"PROD-CM-1|cluster_master|search_head","Splunk_TA_nix",global,syslog,"REPORT-firewall","ipfw, ipfw-stealth, ipfw-icmp, pf",system,"Uses transform","1970-01-01T00:00:00+00:00"
CM1,"PROD-CM-1|cluster_master|search_head","Splunk_TA_nix",global,syslog,"REPORT-routing",iptables,system,"Uses transform","1970-01-01T00:00:00+00:00"
CM1,"PROD-CM-1|cluster_master|search_head","Splunk_TA_nix",global,syslog,"REPORT-signature_for_syslog_timesync","signature_for_nix_timesync",system,"Uses transform","1970-01-01T00:00:00+00:00"
CM1,"PROD-CM-1|cluster_master|search_head","Splunk_TA_nix",global,syslog,"REPORT-src_for_syslog","src_dns_as_src, src_ip_as_src, host_as_src",system,"Uses transform","1970-01-01T00:00:00+00:00"
CM1,"PROD-CM-1|cluster_master|search_head","Splunk_TA_nix",global,vmstat,"REPORT-0kv_for_vmstat","fields_for_vmstat_sh,vmstat_linux,vmstat_osx",system,"Uses transform","1970-01-01T00:00:00+00:00"
CM1,"PROD-CM-1|cluster_master|search_head",btool,global,"(?::){0}splunk:config:btool:*","EXTRACT-btool","etc/((apps|master-apps|slave-apps)/)?[^/]+/(default|local)/(?<file>\w+\.conf)\s+\[(?<stanza>.+?)\]",system,Inline,"2019-11-25T03:10:02+00:00"
CM1,"PROD-CM-1|cluster_master|search_head",btool,global,"splunk:config:btool:app","EXTRACT-btool","(?<SPLUNK_HOME>.*?)/etc/(?<app_folder>apps|master-apps|slave-apps)/(?<app>[^/]*)/(default|local)/(?<file>\w+\.conf)\s+\[(?<stanza>.+)\]",system,Inline,"2019-11-25T03:10:02+00:00"
CM1,"PROD-CM-1|cluster_master|search_head","ca_sh",global,conf,"EXTRACT-conf_stanza","(?m)^\[(?<stanza>[^\]\n]+)",system,Inline,"2019-11-25T03:09:55+00:00"
CM1,"PROD-CM-1|cluster_master|search_head","ca_sh",global,conf,"REPORT-conf_comments","conf_comments",system,"Uses transform","2019-11-25T03:09:55+00:00"
CM1,"PROD-CM-1|cluster_master|search_head","ca_sh",global,conf,"REPORT-conf_lines","conf_lines",system,"Uses transform","2019-11-25T03:09:55+00:00"
CM1,"PROD-CM-1|cluster_master|search_head","ca_sh",global,conf,"REPORT-conf_types","conf_types",system,"Uses transform","2019-11-25T03:09:55+00:00"
CM1,"PROD-CM-1|cluster_master|search_head","ca_sh",global,conf,"REPORT-pipe_search","pipe_search",system,"Uses transform","2019-11-25T03:09:55+00:00"
CM1,"PROD-CM-1|cluster_master|search_head","ca_sh",global,conf,"REPORT-props_transforms","props_transforms,props_transforms_mv",system,"Uses transform","2019-11-25T03:09:55+00:00"
CM1,"PROD-CM-1|cluster_master|search_head","ca_sh",global,conf,"REPORT-sc_app","sc_app",system,"Uses transform","2019-11-25T03:09:55+00:00"
CM1,"PROD-CM-1|cluster_master|search_head","ca_sh",global,conf,"REPORT-sc_blacklist","sc_blacklist",system,"Uses transform","2019-11-25T03:09:55+00:00"
CM1,"PROD-CM-1|cluster_master|search_head","ca_sh",global,conf,"REPORT-sc_whitelist","sc_whitelist",system,"Uses transform","2019-11-25T03:09:55+00:00"
CM1,"PROD-CM-1|cluster_master|search_head","ca_sh",global,conf,"REPORT-src_app_file","src_app_file",system,"Uses transform","2019-11-25T03:09:55+00:00"
CM1,"PROD-CM-1|cluster_master|search_head","ca_sh",global,css,"REPORT-file",file,system,"Uses transform","2019-11-25T03:09:55+00:00"
CM1,"PROD-CM-1|cluster_master|search_head","ca_sh",global,html,"REPORT-file",file,system,"Uses transform","2019-11-25T03:09:55+00:00"
CM1,"PROD-CM-1|cluster_master|search_head","ca_sh",global,"source::...props.conf","REPORT-conf_props","conf_props",system,"Uses transform","2019-11-25T03:09:55+00:00"
CM1,"PROD-CM-1|cluster_master|search_head","ca_sh",global,"source::...props.conf","REPORT-conf_stanza_transform","conf_stanza_host,conf_stanza_source",system,"Uses transform","2019-11-25T03:09:55+00:00"
CM1,"PROD-CM-1|cluster_master|search_head","ca_sh",global,"source::...tags.conf","REPORT-conf_tags","conf_tags1,conf_tags2",system,"Uses transform","2019-11-25T03:09:55+00:00"
CM1,"PROD-CM-1|cluster_master|search_head","ca_sh",global,"source::si_conf","EXTRACT-search_base","""search *= *(?<search_base>[\|a-zA-Z\(\[\`][^\|\n]+[^\s\|\n""](?:\\""))",system,Inline,"2019-11-25T03:09:55+00:00"
CM1,"PROD-CM-1|cluster_master|search_head","ca_sh",global,"source::si_conf","REPORT-as_child","as_child",system,"Uses transform","2019-11-25T03:09:55+00:00"
CM1,"PROD-CM-1|cluster_master|search_head","ca_sh",global,"source::si_conf","REPORT-by",by,system,"Uses transform","2019-11-25T03:09:55+00:00"
CM1,"PROD-CM-1|cluster_master|search_head","ca_sh",global,"source::si_conf","REPORT-by_parent","by_parent",system,"Uses transform","2019-11-25T03:09:55+00:00"
CM1,"PROD-CM-1|cluster_master|search_head","ca_sh",global,"source::si_conf","REPORT-conf_fields","conf_fields,conf_quotes",system,"Uses transform","2019-11-25T03:09:55+00:00"
CM1,"PROD-CM-1|cluster_master|search_head","ca_sh",global,"source::si_conf","REPORT-conf_lookup","conf_lookup",system,"Uses transform","2019-11-25T03:09:55+00:00"
CM1,"PROD-CM-1|cluster_master|search_head","ca_sh",global,"source::si_conf","REPORT-conf_lookup_definition","conf_lookup_definition,conf_lookup_field_parent,conf_lookup_field_child",system,"Uses transform","2019-11-25T03:09:55+00:00"
CM1,"PROD-CM-1|cluster_master|search_head","ca_sh",global,"source::si_conf","REPORT-conf_type","conf_type",system,"Uses transform","2019-11-25T03:09:55+00:00"
CM1,"PROD-CM-1|cluster_master|search_head","ca_sh",global,"source::si_conf","REPORT-enabled",enabled,system,"Uses transform","2019-11-25T03:09:55+00:00"
CM1,"PROD-CM-1|cluster_master|search_head","ca_sh",global,"source::si_conf","REPORT-field_alias","field_alias",system,"Uses transform","2019-11-25T03:09:55+00:00"
CM1,"PROD-CM-1|cluster_master|search_head","ca_sh",global,"source::si_conf","REPORT-field_dest_key","field_dest_key",system,"Uses transform","2019-11-25T03:09:55+00:00"
CM1,"PROD-CM-1|cluster_master|search_head","ca_sh",global,"source::si_conf","REPORT-field_eval","field_eval",system,"Uses transform","2019-11-25T03:09:55+00:00"
CM1,"PROD-CM-1|cluster_master|search_head","ca_sh",global,"source::si_conf","REPORT-field_eval_math","field_eval_math",system,"Uses transform","2019-11-25T03:09:55+00:00"
CM1,"PROD-CM-1|cluster_master|search_head","ca_sh",global,"source::si_conf","REPORT-field_format","field_format",system,"Uses transform","2019-11-25T03:09:55+00:00"
CM1,"PROD-CM-1|cluster_master|search_head","ca_sh",global,"source::si_conf","REPORT-field_named","field_named",system,"Uses transform","2019-11-25T03:09:55+00:00"
CM1,"PROD-CM-1|cluster_master|search_head","ca_sh",global,"source::si_conf","REPORT-field_ref","field_ref",system,"Uses transform","2019-11-25T03:09:55+00:00"
CM1,"PROD-CM-1|cluster_master|search_head","ca_sh",global,"source::si_conf","REPORT-field_src_key","field_src_key",system,"Uses transform","2019-11-25T03:09:55+00:00"
CM1,"PROD-CM-1|cluster_master|search_head","ca_sh",global,"source::si_conf","REPORT-macro",macro,system,"Uses transform","2019-11-25T03:09:55+00:00"
CM1,"PROD-CM-1|cluster_master|search_head","ca_sh",global,"source::si_conf","REPORT-paren_parent","paren_parent",system,"Uses transform","2019-11-25T03:09:55+00:00"
CM1,"PROD-CM-1|cluster_master|search_head","ca_sh",global,"source::si_conf","REPORT-props_transforms","props_transforms,props_transform",system,"Uses transform","2019-11-25T03:09:55+00:00"
CM1,"PROD-CM-1|cluster_master|search_head","ca_sh",global,"source::si_conf","REPORT-search_cron","search_cron",system,"Uses transform","2019-11-25T03:09:55+00:00"
CM1,"PROD-CM-1|cluster_master|search_head","ca_sh",global,"source::si_conf","REPORT-search_eval","search_eval",system,"Uses transform","2019-11-25T03:09:55+00:00"
CM1,"PROD-CM-1|cluster_master|search_head","ca_sh",global,"source::si_conf","REPORT-search_macro","search_macro",system,"Uses transform","2019-11-25T03:09:55+00:00"
CM1,"PROD-CM-1|cluster_master|search_head","ca_sh",global,"source::si_conf","REPORT-search_pipe","search_pipe",system,"Uses transform","2019-11-25T03:09:55+00:00"
CM1,"PROD-CM-1|cluster_master|search_head","ca_sh",global,"source::si_conf","REPORT-search_rename","search_rename",system,"Uses transform","2019-11-25T03:09:55+00:00"
CM1,"PROD-CM-1|cluster_master|search_head","ca_sh",global,"source::si_conf","REPORT-search_report","search_report",system,"Uses transform","2019-11-25T03:09:55+00:00"
CM1,"PROD-CM-1|cluster_master|search_head","ca_sh",global,"source::si_conf","REPORT-search_time","search_time",system,"Uses transform","2019-11-25T03:09:55+00:00"
CM1,"PROD-CM-1|cluster_master|search_head","ca_sh",global,"source::si_conf","REPORT-search_type","search_type",system,"Uses transform","2019-11-25T03:09:55+00:00"
CM1,"PROD-CM-1|cluster_master|search_head","ca_sh",global,"source::si_conf","REPORT-si_action","conf_action",system,"Uses transform","2019-11-25T03:09:55+00:00"
CM1,"PROD-CM-1|cluster_master|search_head","ca_sh",global,"source::si_conf","REPORT-si_conf_text","si_conf_text",system,"Uses transform","2019-11-25T03:09:55+00:00"
CM1,"PROD-CM-1|cluster_master|search_head","ca_sh",global,"source::si_conf","REPORT-si_name","conf_name",system,"Uses transform","2019-11-25T03:09:55+00:00"
CM1,"PROD-CM-1|cluster_master|search_head","ca_sh",global,"source::si_conf","REPORT-text_search","text_search",system,"Uses transform","2019-11-25T03:09:55+00:00"
CM1,"PROD-CM-1|cluster_master|search_head","ca_sh",global,views,"REPORT-file",file,system,"Uses transform","2019-11-25T03:09:55+00:00"
CM1,"PROD-CM-1|cluster_master|search_head","ca_sh",global,views,"REPORT-views_option","views_option",system,"Uses transform","2019-11-25T03:09:55+00:00"
CM1,"PROD-CM-1|cluster_master|search_head","ca_sh",global,views,"REPORT-views_param","views_param",system,"Uses transform","2019-11-25T03:09:55+00:00"
CM1,"PROD-CM-1|cluster_master|search_head","ca_sh",global,views,"REPORT-views_std","views_std",system,"Uses transform","2019-11-25T03:09:55+00:00"
CM1,"PROD-CM-1|cluster_master|search_head",search,global,scheduler,"EXTRACT-fields","(?i)^(?:[^ ]* ){2}(?:[+\-]\d+ )?(?P<log_level>[^ ]*)\s+(?P<component>[^ ]+) - (?P<event_message>.+)",system,Inline,"1970-01-01T00:00:00+00:00"
CM1,"PROD-CM-1|cluster_master|search_head",search,global,"splunk_web_service","EXTRACT-useragent","userAgent=(?P<browser>[^ (]+)",system,Inline,"1970-01-01T00:00:00+00:00"
CM1,"PROD-CM-1|cluster_master|search_head",search,global,splunkd,"EXTRACT-fields","(?i)^(?:[^ ]* ){2}(?:[+\-]\d+ )?(?P<log_level>[^ ]*)\s+(?P<component>[^ ]+) - (?P<event_message>.+)",system,Inline,"1970-01-01T00:00:00+00:00"
CM1,"PROD-CM-1|cluster_master|search_head","splunk_archiver",global,"source::.../var/log/splunk/splunk_archiver.log(.\d+)?","EXTRACT-severity,logger",".*?(?<severity>[A-Z]+) ((?<logger>[^\s]+) \-)*",system,Inline,"1970-01-01T00:00:00+00:00"
CM1,"PROD-CM-1|cluster_master|search_head","splunk_monitoring_console",app,audittrail,"EXTRACT-apiEndTime","apiEndTime=\'(?<apiEndTime>[^\']*?)\'",system,Inline,"1970-01-01T00:00:00+00:00"
CM1,"PROD-CM-1|cluster_master|search_head","splunk_monitoring_console",app,audittrail,"EXTRACT-apiStartTime","apiStartTime=\'(?<apiStartTime>[^\']*?)\'",system,Inline,"1970-01-01T00:00:00+00:00"
CM1,"PROD-CM-1|cluster_master|search_head","splunk_monitoring_console",app,audittrail,"EXTRACT-search_id","search_id=\'(?<search_id>[^\']*?)\'",system,Inline,"1970-01-01T00:00:00+00:00"
CM1,"PROD-CM-1|cluster_master|search_head","splunk_monitoring_console",app,audittrail,"EXTRACT-search_string","search=\'(?<search>.*?)\',\sautojoin",system,Inline,"1970-01-01T00:00:00+00:00"
CM1,"PROD-CM-1|cluster_master|search_head","splunk_monitoring_console",app,splunkd,"EXTRACT-bundle_dir_reaper_max_ms","Bundle_Directory_Reaper_Max_Time\(ms\)=(?<bundle_dir_reaper_max_ms>\d+(\.\d+)?)",system,Inline,"1970-01-01T00:00:00+00:00"
CM1,"PROD-CM-1|cluster_master|search_head","splunk_monitoring_console",app,splunkd,"EXTRACT-bundle_dir_reaper_mean_ms","Bundle_Directory_Reaper_Mean_Time\(ms\)=(?<bundle_dir_reaper_mean_ms>\d+(\.\d+)?)",system,Inline,"1970-01-01T00:00:00+00:00"
CM1,"PROD-CM-1|cluster_master|search_head","splunk_monitoring_console",app,splunkd,"EXTRACT-compute_search_quota_max_ms","Compute_Search_Quota_Max_Time\(ms\)=(?<compute_search_quota_max_ms>\d+(\.\d+)?)",system,Inline,"1970-01-01T00:00:00+00:00"
CM1,"PROD-CM-1|cluster_master|search_head","splunk_monitoring_console",app,splunkd,"EXTRACT-compute_search_quota_mean_ms","Compute_Search_Quota_Mean_Time\(ms\)=(?<compute_search_quota_mean_ms>\d+(\.\d+)?)",system,Inline,"1970-01-01T00:00:00+00:00"
CM1,"PROD-CM-1|cluster_master|search_head","splunk_monitoring_console",app,splunkd,"EXTRACT-dispatch_dir_reaper_max_ms","Dispatch_Directory_Reaper_Max_Time\(ms\)=(?<dispatch_dir_reaper_max_ms>\d+(\.\d+)?)",system,Inline,"1970-01-01T00:00:00+00:00"
CM1,"PROD-CM-1|cluster_master|search_head","splunk_monitoring_console",app,splunkd,"EXTRACT-dispatch_dir_reaper_mean_ms","Dispatch_Directory_Reaper_Mean_Time\(ms\)=(?<dispatch_dir_reaper_mean_ms>\d+(\.\d+)?)",system,Inline,"1970-01-01T00:00:00+00:00"
CM1,"PROD-CM-1|cluster_master|search_head","splunk_monitoring_console",app,splunkd,"EXTRACT-enqueue_searches_count","enqueue_seaches_count=(?<enqueue_searches_count>\d+)",system,Inline,"1970-01-01T00:00:00+00:00"
CM1,"PROD-CM-1|cluster_master|search_head","splunk_monitoring_console",app,splunkd,"EXTRACT-get_auth_max_ms","Get_Authentication_Max_Time\(ms\)=(?<get_auth_max_ms>\d+(\.\d+)?)",system,Inline,"1970-01-01T00:00:00+00:00"
CM1,"PROD-CM-1|cluster_master|search_head","splunk_monitoring_console",app,splunkd,"EXTRACT-get_auth_mean_ms","Get_Authentication_Mean_Time\(ms\)=(?<get_auth_mean_ms>\d+(\.\d+)?)",system,Inline,"1970-01-01T00:00:00+00:00"
CM1,"PROD-CM-1|cluster_master|search_head","splunk_monitoring_console",app,splunkd,"EXTRACT-get_bundleList_max_ms","Get_BundleList_Max_Time\(ms\)=(?<get_bundleList_max_ms>\d+(\.\d+)?)",system,Inline,"1970-01-01T00:00:00+00:00"
CM1,"PROD-CM-1|cluster_master|search_head","splunk_monitoring_console",app,splunkd,"EXTRACT-get_bundleList_mean_ms","Get_BundleList_Mean_Time\(ms\)=(?<get_bundleList_mean_ms>\d+(\.\d+)?)",system,Inline,"1970-01-01T00:00:00+00:00"
CM1,"PROD-CM-1|cluster_master|search_head","splunk_monitoring_console",app,splunkd,"EXTRACT-get_serverInfo_max_ms","Get_ServerInfo_Max_Time\(ms\)=(?<get_serverInfo_max_ms>\d+(\.\d+)?)",system,Inline,"1970-01-01T00:00:00+00:00"
CM1,"PROD-CM-1|cluster_master|search_head","splunk_monitoring_console",app,splunkd,"EXTRACT-get_serverInfo_mean_ms","Get_ServerInfo_Mean_Time\(ms\)=(?<get_serverInfo_mean_ms>\d+(\.\d+)?)",system,Inline,"1970-01-01T00:00:00+00:00"
CM1,"PROD-CM-1|cluster_master|search_head",system,system,ActiveDirectory,"EXTRACT-GUID","(?i)(?!=\w)(?:objectguid|guid)\s*=\s*(?<guid_lookup>[\w\-]+)",system,Inline,"1970-01-01T00:00:00+00:00"
CM1,"PROD-CM-1|cluster_master|search_head",system,system,ActiveDirectory,"EXTRACT-SID","objectSid\s*=\s*(?<sid_lookup>\S+)",system,Inline,"1970-01-01T00:00:00+00:00"
CM1,"PROD-CM-1|cluster_master|search_head",system,system,ActiveDirectory,"REPORT-MESSAGE","ad-kv",system,"Uses transform","1970-01-01T00:00:00+00:00"
CM1,"PROD-CM-1|cluster_master|search_head",system,system,PerformanceMonitor,"REPORT-MESSAGE","perfmon-kv",system,"Uses transform","1970-01-01T00:00:00+00:00"
CM1,"PROD-CM-1|cluster_master|search_head",system,system,"access_combined","REPORT-access","access-extractions",system,"Uses transform","1970-01-01T00:00:00+00:00"
CM1,"PROD-CM-1|cluster_master|search_head",system,system,"access_combined_wcookie","REPORT-access","access-extractions",system,"Uses transform","1970-01-01T00:00:00+00:00"
CM1,"PROD-CM-1|cluster_master|search_head",system,system,"access_common","REPORT-access","access-extractions",system,"Uses transform","1970-01-01T00:00:00+00:00"
CM1,"PROD-CM-1|cluster_master|search_head",system,system,"anaconda_syslog","REPORT-syslog","syslog-extractions",system,"Uses transform","1970-01-01T00:00:00+00:00"
CM1,"PROD-CM-1|cluster_master|search_head",system,system,"cisco_syslog","REPORT-syslog","syslog-extractions",system,"Uses transform","1970-01-01T00:00:00+00:00"
CM1,"PROD-CM-1|cluster_master|search_head",system,system,"db2_diag","REPORT-st",db2,system,"Uses transform","1970-01-01T00:00:00+00:00"
CM1,"PROD-CM-1|cluster_master|search_head",system,system,fileTrackerCrcLog,"EXTRACT-1","(?<_KEY_1>\S+)::(?<_VAL_1>\S+)",system,Inline,"1970-01-01T00:00:00+00:00"
CM1,"PROD-CM-1|cluster_master|search_head",system,system,"linux_messages_syslog","REPORT-syslog","syslog-extractions",system,"Uses transform","1970-01-01T00:00:00+00:00"
CM1,"PROD-CM-1|cluster_master|search_head",system,system,"linux_secure","REPORT-syslog","syslog-extractions",system,"Uses transform","1970-01-01T00:00:00+00:00"
CM1,"PROD-CM-1|cluster_master|search_head",system,system,"osx_asl","REPORT-asl","bracket-space",system,"Uses transform","1970-01-01T00:00:00+00:00"
CM1,"PROD-CM-1|cluster_master|search_head",system,system,"postfix_syslog","REPORT-syslog","syslog-extractions",system,"Uses transform","1970-01-01T00:00:00+00:00"
