"Splunk_Instance","Splunk_Roles",app,title,disabled,sharing,author,type,description,source,sourcetype,index,location,acceleration,whitelist,blacklist,crcSalt,interval
CM1,"PROD-CM-1|cluster_master|search_head","Splunk_TA_nix","/opt/splunk/etc/apps/Splunk_TA_nix/bin/iostat.sh",0,app,system,script,,iostat,iostat,main,"/data/inputs/script",,,,,60
CM1,"PROD-CM-1|cluster_master|search_head","Splunk_TA_nix","/opt/splunk/etc/apps/Splunk_TA_nix/bin/lastlog.sh",1,app,system,script,,lastlog,lastlog,main,"/data/inputs/script",,,,,300
CM1,"PROD-CM-1|cluster_master|search_head","Splunk_TA_nix","/opt/splunk/etc/apps/Splunk_TA_nix/bin/lsof.sh",1,app,system,script,,lsof,lsof,main,"/data/inputs/script",,,,,600
CM1,"PROD-CM-1|cluster_master|search_head","Splunk_TA_nix","/opt/splunk/etc/apps/Splunk_TA_nix/bin/netstat.sh",0,app,system,script,,netstat,netstat,main,"/data/inputs/script",,,,,60
CM1,"PROD-CM-1|cluster_master|search_head","Splunk_TA_nix","/opt/splunk/etc/apps/Splunk_TA_nix/bin/nfsiostat.sh",1,app,system,script,,nfsiostat,nfsiostat,main,"/data/inputs/script",,,,,60
CM1,"PROD-CM-1|cluster_master|search_head","Splunk_TA_nix","/opt/splunk/etc/apps/Splunk_TA_nix/bin/openPorts.sh",1,app,system,script,,openPorts,openPorts,main,"/data/inputs/script",,,,,300
CM1,"PROD-CM-1|cluster_master|search_head","Splunk_TA_nix","/opt/splunk/etc/apps/Splunk_TA_nix/bin/openPortsEnhanced.sh",1,app,system,script,,"Unix:ListeningPorts","Unix:ListeningPorts",main,"/data/inputs/script",,,,,3600
CM1,"PROD-CM-1|cluster_master|search_head","Splunk_TA_nix","/opt/splunk/etc/apps/Splunk_TA_nix/bin/package.sh",1,app,system,script,,package,package,main,"/data/inputs/script",,,,,3600
CM1,"PROD-CM-1|cluster_master|search_head","Splunk_TA_nix","/opt/splunk/etc/apps/Splunk_TA_nix/bin/passwd.sh",1,app,system,script,,"Unix:UserAccounts","Unix:UserAccounts",main,"/data/inputs/script",,,,,3600
CM1,"PROD-CM-1|cluster_master|search_head","Splunk_TA_nix","/opt/splunk/etc/apps/Splunk_TA_nix/bin/protocol.sh",0,app,system,script,,protocol,protocol,main,"/data/inputs/script",,,,,60
CM1,"PROD-CM-1|cluster_master|search_head","Splunk_TA_nix","/opt/splunk/etc/apps/Splunk_TA_nix/bin/ps.sh",1,app,system,script,,ps,ps,main,"/data/inputs/script",,,,,30
CM1,"PROD-CM-1|cluster_master|search_head","Splunk_TA_nix","/opt/splunk/etc/apps/Splunk_TA_nix/bin/rlog.sh",1,app,system,script,,auditd,auditd,main,"/data/inputs/script",,,,,60
CM1,"PROD-CM-1|cluster_master|search_head","Splunk_TA_nix","/opt/splunk/etc/apps/Splunk_TA_nix/bin/selinuxChecker.sh",1,app,system,script,,"Linux:SELinuxConfig","Linux:SELinuxConfig",main,"/data/inputs/script",,,,,3600
CM1,"PROD-CM-1|cluster_master|search_head","Splunk_TA_nix","/opt/splunk/etc/apps/Splunk_TA_nix/bin/service.sh",1,app,system,script,,"Unix:Service","Unix:Service",main,"/data/inputs/script",,,,,3600
CM1,"PROD-CM-1|cluster_master|search_head","Splunk_TA_nix","/opt/splunk/etc/apps/Splunk_TA_nix/bin/sshdChecker.sh",1,app,system,script,,"Unix:SSHDConfig","Unix:SSHDConfig",main,"/data/inputs/script",,,,,3600
CM1,"PROD-CM-1|cluster_master|search_head","Splunk_TA_nix","/opt/splunk/etc/apps/Splunk_TA_nix/bin/time.sh",1,app,system,script,,time,time,main,"/data/inputs/script",,,,,21600
CM1,"PROD-CM-1|cluster_master|search_head","Splunk_TA_nix","/opt/splunk/etc/apps/Splunk_TA_nix/bin/top.sh",1,app,system,script,,top,top,main,"/data/inputs/script",,,,,60
CM1,"PROD-CM-1|cluster_master|search_head","Splunk_TA_nix","/opt/splunk/etc/apps/Splunk_TA_nix/bin/update.sh",1,app,system,script,,"Unix:Update","Unix:Update",main,"/data/inputs/script",,,,,86400
CM1,"PROD-CM-1|cluster_master|search_head","Splunk_TA_nix","/opt/splunk/etc/apps/Splunk_TA_nix/bin/uptime.sh",1,app,system,script,,"Unix:Uptime","Unix:Uptime",main,"/data/inputs/script",,,,,86400
CM1,"PROD-CM-1|cluster_master|search_head","Splunk_TA_nix","/opt/splunk/etc/apps/Splunk_TA_nix/bin/usersWithLoginPrivs.sh",1,app,system,script,,usersWithLoginPrivs,usersWithLoginPrivs,main,"/data/inputs/script",,,,,3600
CM1,"PROD-CM-1|cluster_master|search_head","Splunk_TA_nix","/opt/splunk/etc/apps/Splunk_TA_nix/bin/version.sh",1,app,system,script,,"Unix:Version","Unix:Version",main,"/data/inputs/script",,,,,86400
CM1,"PROD-CM-1|cluster_master|search_head","Splunk_TA_nix","/opt/splunk/etc/apps/Splunk_TA_nix/bin/vmstat.sh",1,app,system,script,,vmstat,vmstat,main,"/data/inputs/script",,,,,60
CM1,"PROD-CM-1|cluster_master|search_head","Splunk_TA_nix","/opt/splunk/etc/apps/Splunk_TA_nix/bin/vsftpdChecker.sh",1,app,system,script,,"Unix:VSFTPDConfig","Unix:VSFTPDConfig",main,"/data/inputs/script",,,,,86400
CM1,"PROD-CM-1|cluster_master|search_head","Splunk_TA_nix","/opt/splunk/etc/apps/Splunk_TA_nix/bin/who.sh",1,app,system,script,,who,who,main,"/data/inputs/script",,,,,150
CM1,"PROD-CM-1|cluster_master|search_head","Splunk_TA_nix","/root/.bash_history",1,app,system,monitor,,,"bash_history",main,"/data/inputs/monitor",,,,,
CM1,"PROD-CM-1|cluster_master|search_head","Splunk_TA_nix","/var/adm",1,app,system,monitor,,,,main,"/data/inputs/monitor",,"(\.log|log$|messages)",,,
CM1,"PROD-CM-1|cluster_master|search_head","Splunk_TA_nix","/var/log",1,app,system,monitor,,,,main,"/data/inputs/monitor",,"(\.log|log$|messages|secure|auth|mesg$|cron$|acpid$|\.out)","(lastlog|anaconda\.syslog)",,
CM1,"PROD-CM-1|cluster_master|search_head","Splunk_Use_Case_Arsenal","$SPLUNK_HOME/etc/apps",0,app,system,monitor,,,"splunk:essentials:json",main,"/data/inputs/monitor",,"exampleInfo.json$|usecases.json$|ShowcaseInfo.json$","","<SOURCE>",
CM1,"PROD-CM-1|cluster_master|search_head",btool,"/opt/splunk/etc/apps/btool/bin/btool.sh app",0,app,system,script,,,"splunk:config:btool:app",main,"/data/inputs/script",,,,,300
CM1,"PROD-CM-1|cluster_master|search_head",btool,"/opt/splunk/etc/apps/btool/bin/btool.sh authentication",0,app,system,script,,,"splunk:config:btool:authentication",main,"/data/inputs/script",,,,,300
CM1,"PROD-CM-1|cluster_master|search_head",btool,"/opt/splunk/etc/apps/btool/bin/btool.sh authorize",0,app,system,script,,,"splunk:config:btool:authorize",main,"/data/inputs/script",,,,,300
CM1,"PROD-CM-1|cluster_master|search_head",btool,"/opt/splunk/etc/apps/btool/bin/btool.sh indexes",0,app,system,script,,,"splunk:config:btool:indexes",main,"/data/inputs/script",,,,,300
CM1,"PROD-CM-1|cluster_master|search_head",btool,"/opt/splunk/etc/apps/btool/bin/btool.sh inputs",0,app,system,script,,,"splunk:config:btool:inputs",main,"/data/inputs/script",,,,,300
CM1,"PROD-CM-1|cluster_master|search_head",btool,"/opt/splunk/etc/apps/btool/bin/btool.sh limits",0,app,system,script,,,"splunk:config:btool:limits",main,"/data/inputs/script",,,,,300
CM1,"PROD-CM-1|cluster_master|search_head",btool,"/opt/splunk/etc/apps/btool/bin/btool.sh outputs",0,app,system,script,,,"splunk:config:btool:outputs",main,"/data/inputs/script",,,,,300
CM1,"PROD-CM-1|cluster_master|search_head",btool,"/opt/splunk/etc/apps/btool/bin/btool.sh props",0,app,system,script,,,"splunk:config:btool:props",main,"/data/inputs/script",,,,,300
CM1,"PROD-CM-1|cluster_master|search_head",btool,"/opt/splunk/etc/apps/btool/bin/btool.sh rolemap",0,app,system,script,,,"splunk:config:btool:rolemap",main,"/data/inputs/script",,,,,300
CM1,"PROD-CM-1|cluster_master|search_head",btool,"/opt/splunk/etc/apps/btool/bin/btool.sh saml",0,app,system,script,,,"splunk:config:btool:saml",main,"/data/inputs/script",,,,,300
CM1,"PROD-CM-1|cluster_master|search_head",btool,"/opt/splunk/etc/apps/btool/bin/btool.sh server",0,app,system,script,,,"splunk:config:btool:server",main,"/data/inputs/script",,,,,300
CM1,"PROD-CM-1|cluster_master|search_head",btool,"/opt/splunk/etc/apps/btool/bin/btool.sh transforms",0,app,system,script,,,"splunk:config:btool:transforms",main,"/data/inputs/script",,,,,300
CM1,"PROD-CM-1|cluster_master|search_head",btool,"/opt/splunk/etc/apps/btool/bin/btool.sh web",0,app,system,script,,,"splunk:config:btool:web",main,"/data/inputs/script",,,,,300
CM1,"PROD-CM-1|cluster_master|search_head","config_analytics","$SPLUNK_HOME/etc/....conf",0,app,system,monitor,,,conf,conf,"/data/inputs/monitor",,,,"<SOURCE>",
CM1,"PROD-CM-1|cluster_master|search_head","config_analytics","$SPLUNK_HOME/etc/....css",0,app,system,monitor,,,css,views,"/data/inputs/monitor",,,,"<SOURCE>",
CM1,"PROD-CM-1|cluster_master|search_head","config_analytics","$SPLUNK_HOME/etc/....htm",0,app,system,monitor,,,html,views,"/data/inputs/monitor",,,,"<SOURCE>",
CM1,"PROD-CM-1|cluster_master|search_head","config_analytics","$SPLUNK_HOME/etc/....xml",0,app,system,monitor,,,views,views,"/data/inputs/monitor",,,,"<SOURCE>",
CM1,"PROD-CM-1|cluster_master|search_head","config_analytics","$SPLUNK_HOME/etc/users/*/*/history/*.csv",0,app,system,monitor,,,csv,views,"/data/inputs/monitor",,,,"<SOURCE>",
CM1,"PROD-CM-1|cluster_master|search_head","introspection_generator_addon","$SPLUNK_HOME/var/log/introspection",0,app,system,monitor,,,,"_introspection","/data/inputs/monitor",,,,,
CM1,"PROD-CM-1|cluster_master|search_head","introspection_generator_addon","/opt/splunk/etc/apps/introspection_generator_addon/bin/collector.path",0,app,system,script,,,"splunk_resource_usage__internal",main,"/data/inputs/script",,,,,0
CM1,"PROD-CM-1|cluster_master|search_head","splunk-dashboard-app","/opt/splunk/etc/apps/splunk-dashboard-app/bin/save_image_and_icon_on_install.py",0,app,system,script,,,,main,"/data/inputs/script",,,,,"-1"
CM1,"PROD-CM-1|cluster_master|search_head","splunk_instrumentation","$SPLUNK_HOME/etc/apps/splunk_instrumentation/bin/instrumentation.py",0,app,system,script,,"instrumentation_scripted_input","splunk_telemetry_log","_telemetry","/data/inputs/script",,,,,"0 * * * *"
CM1,"PROD-CM-1|cluster_master|search_head","splunk_instrumentation","$SPLUNK_HOME/etc/apps/splunk_instrumentation/bin/on_splunk_start.py",0,app,system,script,,,,main,"/data/inputs/script",,,,,"-1"
CM1,"PROD-CM-1|cluster_master|search_head","splunk_instrumentation","$SPLUNK_HOME/etc/apps/splunk_instrumentation/bin/schedule_delete.py",0,app,system,script,,,,main,"/data/inputs/script",,,,,"0 0 * * *"
CM1,"PROD-CM-1|cluster_master|search_head","splunk_monitoring_console","/opt/splunk/etc/apps/splunk_monitoring_console/bin/dmc_config.py",0,app,system,script,,,,main,"/data/inputs/script",,,,,"-1"
CM1,"PROD-CM-1|cluster_master|search_head",system,"$SPLUNK_HOME/etc/splunk.version",0,system,system,monitor,,,"splunk_version","_internal","/data/inputs/monitor",,,,,
CM1,"PROD-CM-1|cluster_master|search_head",system,"$SPLUNK_HOME/var/log/splunk",0,system,system,monitor,,,,"_internal","/data/inputs/monitor",,,,,
CM1,"PROD-CM-1|cluster_master|search_head",system,"$SPLUNK_HOME/var/log/splunk/license_usage_summary.log",0,system,system,monitor,,,,"_telemetry","/data/inputs/monitor",,,,,
CM1,"PROD-CM-1|cluster_master|search_head",system,"$SPLUNK_HOME/var/log/splunk/splunk_instrumentation_cloud.log*",0,system,system,monitor,,,"splunk_cloud_telemetry","_telemetry","/data/inputs/monitor",,,,,
CM1,"PROD-CM-1|cluster_master|search_head",system,"$SPLUNK_HOME/var/log/watchdog/watchdog.log*",0,system,system,monitor,,,,"_internal","/data/inputs/monitor",,,,,
CM1,"PROD-CM-1|cluster_master|search_head",system,"$SPLUNK_HOME/var/run/splunk/search_telemetry/*search_telemetry.json",0,system,system,monitor,,,"search_telemetry","_introspection","/data/inputs/monitor",,,,"<SOURCE>",
CM1,"PROD-CM-1|cluster_master|search_head",system,"$SPLUNK_HOME/var/spool/splunk",0,system,system,monitor,,,,main,"/data/inputs/monitor",,,,"<SOURCE>",
CM1,"PROD-CM-1|cluster_master|search_head",system,"$SPLUNK_HOME/var/spool/splunk/...stash_new",1,system,system,monitor,,,"stash_new",main,"/data/inputs/monitor",,,,"<SOURCE>",
CM1,"PROD-CM-1|cluster_master|search_head","ta-confversion","/opt/splunk/etc/(*.conf|(local|default).meta)",0,app,system,monitor,,,"splunk_conf_file",main,"/data/inputs/monitor",,,,"<SOURCE>",
CM1,"PROD-CM-1|cluster_master|search_head","ta-confversion","/opt/splunk/etc/apps/*/*/(*.conf|(local|default).meta)",0,app,system,monitor,,,"splunk_conf_file",main,"/data/inputs/monitor",,,,"<SOURCE>",
CM1,"PROD-CM-1|cluster_master|search_head","ta-confversion","/opt/splunk/etc/deployment-apps/*/*/(*.conf|(local|default).meta)",0,app,system,monitor,,,"splunk_conf_file",main,"/data/inputs/monitor",,,,"<SOURCE>",
CM1,"PROD-CM-1|cluster_master|search_head","ta-confversion","/opt/splunk/etc/master-apps/*/*/(*.conf|(local|default).meta)",0,app,system,monitor,,,"splunk_conf_file",main,"/data/inputs/monitor",,,,"<SOURCE>",
CM1,"PROD-CM-1|cluster_master|search_head","ta-confversion","/opt/splunk/etc/shcluster/apps/*/*/(*.conf|(local|default).meta)",0,app,system,monitor,,,"splunk_conf_file",main,"/data/inputs/monitor",,,,"<SOURCE>",
CM1,"PROD-CM-1|cluster_master|search_head","ta-confversion","/opt/splunk/etc/slave-apps/*/*/(*.conf|(local|default).meta)",0,app,system,monitor,,,"splunk_conf_file",main,"/data/inputs/monitor",,,,"<SOURCE>",
CM1,"PROD-CM-1|cluster_master|search_head","ta-confversion","/opt/splunk/etc/system/*/(*.conf|(local|default).meta)",0,app,system,monitor,,,"splunk_conf_file",main,"/data/inputs/monitor",,,,"<SOURCE>",
CM1,"PROD-CM-1|cluster_master|search_head","ta-confversion","/opt/splunk/etc/users/*/*/*/(*.conf|(local|default).meta)",0,app,system,monitor,,,"splunk_conf_file",main,"/data/inputs/monitor",,,,"<SOURCE>",
ES,"PROD-ES-1|search_head","DA-ESS-IdentityManagement","confcheck_es_deprecate_investigators",0,app,system,"configuration_check",,,,main,"/data/inputs/configuration_check",,,,,31104000
ES,"PROD-ES-1|search_head","DA-ESS-NetworkProtection","whois_tracker",0,app,system,"data_migrator",,,,main,"/data/inputs/data_migrator",,,,,
ES,"PROD-ES-1|search_head","DA-ESS-ThreatIntelligence","da_ess_threat_default",0,app,system,"threat_intelligence_manager",,"ModularInput:ThreatIntelligenceManager","ModularInput:ThreatIntelligenceManager","_internal","/data/inputs/threat_intelligence_manager",,,,,""
ES,"PROD-ES-1|search_head","DA-ESS-ThreatIntelligence","da_ess_threat_local",0,app,system,"threat_intelligence_manager",,"ModularInput:ThreatIntelligenceManager","ModularInput:ThreatIntelligenceManager","_internal","/data/inputs/threat_intelligence_manager",,,,,""
ES,"PROD-ES-1|search_head","DA-ESS-ThreatIntelligence","hailataxii_malware",0,app,system,threatlist,"Hail a TAXII.com malware domain host list","ModularInput:Threatlist","ModularInput:Threatlist","_internal","/data/inputs/threatlist",,,,,86400
ES,"PROD-ES-1|search_head","DA-ESS-ThreatIntelligence","local_certificate_intel",0,app,system,threatlist,"Threat intelligence pertaining to certificates","ModularInput:Threatlist","ModularInput:Threatlist","_internal","/data/inputs/threatlist",,,,,43200
ES,"PROD-ES-1|search_head","DA-ESS-ThreatIntelligence","local_domain_intel",0,app,system,"data_migrator","Threat intelligence pertaining to domains","ModularInput:Threatlist","ModularInput:Threatlist",main,"/data/inputs/data_migrator",,,,,43200
ES,"PROD-ES-1|search_head","DA-ESS-ThreatIntelligence","local_email_intel",0,app,system,threatlist,"Threat intelligence pertaining to email","ModularInput:Threatlist","ModularInput:Threatlist","_internal","/data/inputs/threatlist",,,,,43200
ES,"PROD-ES-1|search_head","DA-ESS-ThreatIntelligence","local_file_intel",0,app,system,threatlist,"Threat intelligence pertaining to files","ModularInput:Threatlist","ModularInput:Threatlist","_internal","/data/inputs/threatlist",,,,,43200
ES,"PROD-ES-1|search_head","DA-ESS-ThreatIntelligence","local_http_intel",0,app,system,threatlist,"Threat intelligence pertaining to HTTP","ModularInput:Threatlist","ModularInput:Threatlist","_internal","/data/inputs/threatlist",,,,,43200
ES,"PROD-ES-1|search_head","DA-ESS-ThreatIntelligence","local_ip_intel",0,app,system,threatlist,"Threat intelligence pertaining to IPs","ModularInput:Threatlist","ModularInput:Threatlist","_internal","/data/inputs/threatlist",,,,,43200
ES,"PROD-ES-1|search_head","DA-ESS-ThreatIntelligence","local_lookups",0,app,system,"threat_intelligence_manager",,"ModularInput:ThreatIntelligenceManager","ModularInput:ThreatIntelligenceManager","_internal","/data/inputs/threat_intelligence_manager",,,,,""
ES,"PROD-ES-1|search_head","DA-ESS-ThreatIntelligence","local_process_intel",0,app,system,threatlist,"Threat intelligence pertaining to processes","ModularInput:Threatlist","ModularInput:Threatlist","_internal","/data/inputs/threatlist",,,,,43200
ES,"PROD-ES-1|search_head","DA-ESS-ThreatIntelligence","local_registry_intel",0,app,system,threatlist,"Threat intelligence pertaining to the Windows registry","ModularInput:Threatlist","ModularInput:Threatlist","_internal","/data/inputs/threatlist",,,,,43200
ES,"PROD-ES-1|search_head","DA-ESS-ThreatIntelligence","local_service_intel",0,app,system,threatlist,"Threat intelligence pertaining to services","ModularInput:Threatlist","ModularInput:Threatlist","_internal","/data/inputs/threatlist",,,,,43200
ES,"PROD-ES-1|search_head","DA-ESS-ThreatIntelligence","local_user_intel",0,app,system,threatlist,"Threat intelligence pertaining to users","ModularInput:Threatlist","ModularInput:Threatlist","_internal","/data/inputs/threatlist",,,,,43200
ES,"PROD-ES-1|search_head","DA-ESS-ThreatIntelligence","sa_threat_local",0,app,system,"threat_intelligence_manager",,"ModularInput:ThreatIntelligenceManager","ModularInput:ThreatIntelligenceManager","_internal","/data/inputs/threat_intelligence_manager",,,,,""
ES,"PROD-ES-1|search_head","SA-AccessProtection","access_tracker",0,app,system,"data_migrator",,,,main,"/data/inputs/data_migrator",,,,,
ES,"PROD-ES-1|search_head","SA-AuditAndDataProtection","events_per_day",0,app,system,"data_migrator",,,,main,"/data/inputs/data_migrator",,,,,
ES,"PROD-ES-1|search_head","SA-EndpointProtection","listeningports_tracker",0,app,system,"data_migrator",,,,main,"/data/inputs/data_migrator",,,,,
ES,"PROD-ES-1|search_head","SA-EndpointProtection","localprocesses_tracker",0,app,system,"data_migrator",,,,main,"/data/inputs/data_migrator",,,,,
ES,"PROD-ES-1|search_head","SA-EndpointProtection","malware_tracker",0,app,system,"data_migrator",,,,main,"/data/inputs/data_migrator",,,,,
ES,"PROD-ES-1|search_head","SA-EndpointProtection","useraccounts_tracker",0,app,system,"data_migrator",,,,main,"/data/inputs/data_migrator",,,,,
ES,"PROD-ES-1|search_head","SA-IdentityManagement","administrative_identities",0,app,system,"identity_manager","List of commonly-used administrative or privileged identities.",,,main,"/data/inputs/identity_manager",,,1,,""
ES,"PROD-ES-1|search_head","SA-IdentityManagement","confcheck_default_identity_lookups",0,app,system,"configuration_check",,,,main,"/data/inputs/configuration_check",,,,,86400
ES,"PROD-ES-1|search_head","SA-IdentityManagement","demo_assets",0,app,system,"identity_manager","Demonstration asset list.",,,main,"/data/inputs/identity_manager",,,1,,""
ES,"PROD-ES-1|search_head","SA-IdentityManagement","demo_identities",0,app,system,"identity_manager","Demonstration identity list.",,,main,"/data/inputs/identity_manager",,,1,,""
ES,"PROD-ES-1|search_head","SA-IdentityManagement","static_assets",0,app,system,"identity_manager","List containing static assets.",,,main,"/data/inputs/identity_manager",,,1,,""
ES,"PROD-ES-1|search_head","SA-IdentityManagement","static_identities",0,app,system,"identity_manager","List containing static identities.",,,main,"/data/inputs/identity_manager",,,1,,""
ES,"PROD-ES-1|search_head","SA-NetworkProtection","communication_rule_tracker",0,app,system,"data_migrator",,,,main,"/data/inputs/data_migrator",,,,,
ES,"PROD-ES-1|search_head","SA-NetworkProtection","ids_attack_tracker",0,app,system,"data_migrator",,,,main,"/data/inputs/data_migrator",,,,,
ES,"PROD-ES-1|search_head","SA-NetworkProtection","whois_domaintools",1,app,system,whois,,"Whois:Domaintools","Whois:Domaintools",whois,"/data/inputs/whois",,,,,
ES,"PROD-ES-1|search_head","SA-ThreatIntelligence","alexa_top_one_million_sites",0,app,system,threatlist,"Alexa Top 1 Million Sites, copyright 2014, Alexa Internet (www.alexa.com)","ModularInput:Threatlist","ModularInput:Threatlist","_internal","/data/inputs/threatlist",,,,,86400
ES,"PROD-ES-1|search_head","SA-ThreatIntelligence","cisco_top_one_million_sites",0,app,system,threatlist,"Cisco Umbrella Top 1 Million Sites, copyright 2018, Cisco Umbrella","ModularInput:Threatlist","ModularInput:Threatlist","_internal","/data/inputs/threatlist",,,,,86400
ES,"PROD-ES-1|search_head","SA-ThreatIntelligence","confcheck_correlation_searches",0,app,system,"configuration_check",,,,main,"/data/inputs/configuration_check",,,,,"20 3 * * *"
ES,"PROD-ES-1|search_head","SA-ThreatIntelligence","emerging_threats_compromised_ip_blocklist",0,app,system,threatlist,"Emerging Threats compromised IPs blocklist","ModularInput:Threatlist","ModularInput:Threatlist","_internal","/data/inputs/threatlist",,,,,43200
ES,"PROD-ES-1|search_head","SA-ThreatIntelligence","emerging_threats_ip_blocklist",0,app,system,threatlist,"Emerging Threats fwip rules","ModularInput:Threatlist","ModularInput:Threatlist","_internal","/data/inputs/threatlist",,,,,43200
ES,"PROD-ES-1|search_head","SA-ThreatIntelligence","iblocklist_logmein",0,app,system,threatlist,"Addresses that are used by the LogMeIn product to enable unauthorized remote access","ModularInput:Threatlist","ModularInput:Threatlist","_internal","/data/inputs/threatlist",,,,,43200
ES,"PROD-ES-1|search_head","SA-ThreatIntelligence","iblocklist_piratebay",0,app,system,threatlist,"Addresses that are commonly associated with known PirateBay sites","ModularInput:Threatlist","ModularInput:Threatlist","_internal","/data/inputs/threatlist",,,,,43200
ES,"PROD-ES-1|search_head","SA-ThreatIntelligence","iblocklist_proxy",0,app,system,threatlist,"Addresses that are commonly associated with known traffic-proxy sites","ModularInput:Threatlist","ModularInput:Threatlist","_internal","/data/inputs/threatlist",,,,,43200
ES,"PROD-ES-1|search_head","SA-ThreatIntelligence","iblocklist_rapidshare",0,app,system,threatlist,"Addresses that are commonly associated with known RapidShare sites","ModularInput:Threatlist","ModularInput:Threatlist","_internal","/data/inputs/threatlist",,,,,43200
ES,"PROD-ES-1|search_head","SA-ThreatIntelligence","iblocklist_spyware",0,app,system,threatlist,"Addresses that are commonly associated with known spyware sites","ModularInput:Threatlist","ModularInput:Threatlist","_internal","/data/inputs/threatlist",,,,,43200
ES,"PROD-ES-1|search_head","SA-ThreatIntelligence","iblocklist_tor",0,app,system,threatlist,"Addresses that are commonly associated with known Tor sites","ModularInput:Threatlist","ModularInput:Threatlist","_internal","/data/inputs/threatlist",,,,,43200
ES,"PROD-ES-1|search_head","SA-ThreatIntelligence","iblocklist_web_attacker",0,app,system,threatlist,"Addresses that are commonly associated with known malicious attacker sites","ModularInput:Threatlist","ModularInput:Threatlist","_internal","/data/inputs/threatlist",,,,,43200
ES,"PROD-ES-1|search_head","SA-ThreatIntelligence","icann_top_level_domain_list",0,app,system,threatlist,"ICANN Top-level Domains List","ModularInput:Threatlist","ModularInput:Threatlist","_internal","/data/inputs/threatlist",,,,,1296000
ES,"PROD-ES-1|search_head","SA-ThreatIntelligence","incident_review",0,app,system,"data_migrator",,,,main,"/data/inputs/data_migrator",,,,,
ES,"PROD-ES-1|search_head","SA-ThreatIntelligence","incident_review_rule_ids",0,app,system,"data_migrator",,,,main,"/data/inputs/data_migrator",,,,,
ES,"PROD-ES-1|search_head","SA-ThreatIntelligence","malware_domains",0,app,system,threatlist,"Malware Domain Blocklist","ModularInput:Threatlist","ModularInput:Threatlist","_internal","/data/inputs/threatlist",,,,,43200
ES,"PROD-ES-1|search_head","SA-ThreatIntelligence","maxmind_geoip_asn_ipv4",0,app,system,threatlist,"MaxMind GeoIP ASN IPv4 database","ModularInput:Threatlist","ModularInput:Threatlist","_internal","/data/inputs/threatlist",,,,,1296000
ES,"PROD-ES-1|search_head","SA-ThreatIntelligence","maxmind_geoip_asn_ipv6",0,app,system,threatlist,"MaxMind GeoIP ASN IPv6 database","ModularInput:Threatlist","ModularInput:Threatlist","_internal","/data/inputs/threatlist",,,,,1296000
ES,"PROD-ES-1|search_head","SA-ThreatIntelligence","mozilla_public_suffix_list",0,app,system,threatlist,"Mozilla Public Suffix List","ModularInput:Threatlist","ModularInput:Threatlist","_internal","/data/inputs/threatlist",,,,,604800
ES,"PROD-ES-1|search_head","SA-ThreatIntelligence",phishtank,0,app,system,threatlist,"Phishtank Database","ModularInput:Threatlist","ModularInput:Threatlist","_internal","/data/inputs/threatlist",,,,,43200
